table_name       column_name  domain_name width scale nulls default       
lots             loorder      numeric         6     0 Y     (NULL)        
lots             lorecdat     timestamp       8     0 Y     (NULL)        
lots             loreldat     timestamp       8     0 Y     (NULL)        
lots             loexpdat     timestamp       8     0 Y     (NULL)        
lots             lostock      numeric        12     3 N     (NULL)        
lots             loalloc      numeric        12     3 N     (NULL)        
lots             lowip        numeric        12     3 N     (NULL)        
lots             loqcstatus   char            1     0 Y     (NULL)        
lots             loctrl       char            1     0 Y     (NULL)        
lots             lolotctrl    char            1     0 Y     (NULL)        
lots             locmnt       varchar      1024     0 Y     (NULL)        
lots             loorgcode    char           20     0 Y     (NULL)        
lots             loadcode     char           10     0 Y     (NULL)        
lots             losampleid   numeric         8     0 Y     (NULL)        
lots             lolabelid    numeric         6     0 Y     (NULL)        
lots             lofreezdate  timestamp       8     0 Y     (NULL)        
lots             lobascost    numeric        12     4 Y     (NULL)        
lots             loxtrcost    numeric        12     4 Y     (NULL)        
lots             lobasdate    timestamp       8     0 Y     (NULL)        
lots             loxtrdate    timestamp       8     0 Y     (NULL)        
lots             lobasuser    varchar         8     0 Y     (NULL)        
lots             loxtruser    varchar         8     0 Y     (NULL)        
lots             loserialcpt  numeric         6     0 Y     (NULL)        
lots             lofreeze     char            1     0 Y     (NULL)        
lots             locontopend  timestamp       8     0 Y     (NULL)        
lots             lorcpoum     char            2     0 Y     (NULL)        
lots             lost         char            1     0 N     'N'           
lots             loexcmrp     char            1     0 N     'N'           
lots             loid         integer         4     0 N     autoincrement 
lots             lodensity    numeric         6     3 Y     (NULL)        
lots             lodegree     numeric         4     2 Y     (NULL)        
lots             loavailabled timestamp       8     0 Y     (NULL)        
machine          mcid         integer         4     0 N     autoincrement 
machine          mcode        varchar        30     0 N     (NULL)        
machine          mcname       varchar        50     0 N     (NULL)        
machine          mcpriority   numeric         4     0 N     0             
machine          mcactiv      char            1     0 N     'Y'           
machine          mccells      integer         4     0 Y     (NULL)        
machine          mccal        varchar         6     0 Y     (NULL)        
machine          mchourly     integer         4     0 Y     (NULL)        
machinehead      mhmachineid  char           10     0 N     (NULL)        
machinehead      mhname       varchar        30     0 N     (NULL)        
machinehead      mhactive     char            1     0 N     'Y'           
machinehead      mhwccode     char            8     0 Y     (NULL)        
mailaccount      maadress     varchar        50     0 N     (NULL)        
mailaccount      malogin      varchar        50     0 Y     (NULL)        
mailaccount      mapassword   varchar        50     0 Y     (NULL)        
mailaccount      mapop3       varchar        50     0 Y     (NULL)        
matallocs        matyp        char            1     0 N     (NULL)        
matallocs        macode       numeric         6     0 N     (NULL)        
matallocs        maitemseq    numeric         5     0 N     (NULL)        
matallocs        maallocseq   numeric         4     0 N     (NULL)        
matallocs        maitem       char           20     0 N     (NULL)        
matallocs        malot        char           30     0 N     (NULL)        
matallocs        maloc        char            8     0 N     (NULL)        
matallocs        maallocqty   numeric        12     3 N     (NULL)        
matallocs        maissuedqty  numeric        12     3 Y     (NULL)        
matallocs        ma2issueqty  numeric        12     3 Y     (NULL)        
matallocs        masscc       varchar        18     0 Y     (NULL)        
matallocs        macustalloc  numeric        12     3 Y     (NULL)        
matallocs        malotorgcode varchar        20     0 Y     (NULL)        
matallocs        malotdlc     timestamp       8     0 Y     (NULL)        
matallocs        mauser       char           50     0 Y     ''            
matallocs        maallocdat   timestamp       8     0 Y     (NULL)        
matallocs        maissued_trf numeric        12     3 Y     0             
matplan          mpitem       char           20     0 N     (NULL)        
matplan          mporduedat   timestamp       8     0 N     (NULL)        
matplan          mpplduedat   timestamp       8     0 N     (NULL)        
matplan          mporqty      numeric        12     3 N     (NULL)        
matplan          mpplqty      numeric        12     3 N     (NULL)        
matplan          mpreldat     timestamp       8     0 N     (NULL)        
matplan          mporigin     char            1     0 N     (NULL)        
matplan          mpuse        char            1     0 N     (NULL)        
matplan          mprun        numeric         4     0 N     (NULL)        
matplan          mpordno      numeric         6     0 Y     (NULL)        
matplan          mpaltrout    char            1     0 Y     (NULL)        
matplan          mpyield      numeric         4     1 Y     (NULL)        
matplan          mpsalord     numeric         6     0 Y     (NULL)        
matplan          mpsalline    numeric         4     0 Y     (NULL)        
matplan          mpinter      char            1     0 Y     (NULL)        
matplannew       mpitem       char           20     0 N     (NULL)        
matplannew       mporduedat   timestamp       8     0 N     (NULL)        
matplannew       mpplduedat   timestamp       8     0 N     (NULL)        
matplannew       mporqty      numeric        12     3 N     (NULL)        
matplannew       mpplqty      numeric        12     3 N     (NULL)        
matplannew       mpreldat     timestamp       8     0 N     (NULL)        
matplannew       mporigin     char            1     0 N     (NULL)        
matplannew       mpuse        char            1     0 N     (NULL)        
matplannew       mprun        numeric         4     0 N     (NULL)        
matplannew       mpordno      numeric         6     0 Y     (NULL)        
matplannew       mpoldno      numeric         6     0 Y     (NULL)        
matplannew       mpaltrout    char            1     0 Y     (NULL)        
matplannew       mpyield      numeric         4     1 Y     (NULL)        
matplannew       mpinter      char            1     0 Y     (NULL)        
matreq           mritem       char           20     0 N     (NULL)        
matreq           mrreqdat     timestamp       8     0 N     (NULL)        
matreq           mrorigin     char            1     0 N     (NULL)        
matreq           mrqty        numeric        12     3 N     (NULL)        
matreq           mrrun        numeric         4     0 N     (NULL)        
matreq           mrinter      char            1     0 Y     (NULL)        
matsal           msitem       char           20     0 N     (NULL)        
matsal           msdatship    timestamp       8     0 N     (NULL)        
matsal           msdatplan    timestamp       8     0 Y     (NULL)        
matsal           mstypord     char            1     0 Y     (NULL)        
matsal           msordno      numeric         6     0 Y     (NULL)        
matsal           mssalord     numeric         6     0 N     (NULL)        
matsal           mssalline    numeric         4     0 N     (NULL)        
matsal           msqty        numeric        10     3 Y     (NULL)        
measures         umcode       char            2     0 N     (NULL)        
measures         umname       char           20     0 N     (NULL)        
measures         umactiv      char            1     0 Y     (NULL)        
measures         umtarif      char            1     0 Y     (NULL)        
methodeview      mvitem       char           20     0 N     (NULL)        
methodeview      mvbomtype    char            1     0 N     (NULL)        
methodeview      mvtype       char            1     0 N     (NULL)        
methodeview      mvcode       varchar        50     0 N     (NULL)        
methodeview      mvcode2      varchar         4     0 N     (NULL)        
methodeview      mvqty        numeric        16    12 Y     (NULL)        
methodeview      mvvalue      numeric        16    12 Y     (NULL)        
mfgcoitem        mccode       numeric         6     0 N     (NULL)        
mfgcoitem        mcitem       char           20     0 N     (NULL)        
mfgcoitem        mcreqty      numeric        12     3 Y     (NULL)        
mfgcoitem        mcmfgqty     numeric        12     3 Y     (NULL)        
mfgcoitem        mclotmfg     char           30     0 Y     (NULL)        
mfgcoitem        mcexpdat     timestamp       8     0 Y     (NULL)        
mfgcoitem        mclotprt     char           30     0 Y     (NULL)        
mfgcoitem        mccostf      numeric        12     4 Y     (NULL)        
mfgcoitem        mcnqualf     numeric        12     4 Y     (NULL)        
mfgcoitem        mcmfgcost    numeric        12     4 Y     (NULL)        
mfgcoitem        mcbackf      numeric         1     0 Y     (NULL)        
mfgcoitem        mcbaseitqtyp numeric         5     2 Y     (NULL)        
mfgcoitem        mcbaseitcost numeric         5     2 Y     (NULL)        
mfgcoitemsal     msmhcode     numeric         6     0 N     (NULL)        
mfgcoitemsal     msitem       char           20     0 N     (NULL)        
mfgcoitemsal     mssalhead    numeric         6     0 N     (NULL)        
mfgcoitemsal     mssalline    numeric         4     0 N     (NULL)        
mfgcoitemsal     msqty        numeric        12     3 Y     (NULL)        
mfgcosts         mccode       numeric         6     0 N     (NULL)        
mfgcosts         mctype       char            1     0 N     (NULL)        
mfgcosts         mcseq        numeric         4     0 N     (NULL)        
mfgcosts         mcitem       char           20     0 N     (NULL)        
mfgcosts         mcqalloc     numeric        12     3 N     (NULL)        
mfgcosts         mcqreal      decimal        20    12 N     (NULL)        
mfgcosts         mcvalloc     decimal        20    12 N     (NULL)        
mfgcosts         mcvreal      decimal        20    12 N     (NULL)        
mfgcosts         mcqty        numeric        12     3 Y     (NULL)        
mfgcosts         mcum         char           20     0 Y     (NULL)        
mfgcosts         mccoeff      numeric         3     0 Y     (NULL)        
mfgcosts         mcresponsabl char           50     0 Y     (NULL)        
mfgcosts         mcnbr        numeric         2     0 Y     (NULL)        
mfgcosts         mcctrl       char            1     0 Y     (NULL)        
